ticker,name,sector,price,market_cap,current_assets,total_liabilities,ncav,ncav_per_share,ocf,ocf_positive,ncav_ratio,is_netnet,margin_pct,ocf_3y_all_positive,ocf_3y_count_positive,ocf_3y_values,has_dividend,has_buyback,revenue_declining,value_trap_flag
1882.T,Toa Road Corporation,Industrials,1516.0,70050703408.0,60001000000.0,33792000000.0,26209000000.0,567.2,-1754000000.0,False,2.673,False,-300.9,False,2,"[-1754000000.0, 10911000000.0, 2180000000.0]",True,True,False,False
1885.T,TOA Corporation,Industrials,2217.0,171411301260.0,240703000000.0,187512000000.0,53191000000.0,687.96,48006000000.0,True,3.223,False,-383.4,False,2,"[48006000000.0, -14255000000.0, 39350000000.0]",True,True,False,False
1887.T,JDC Corporation,Industrials,534.0,42584499636.0,112609000000.0,74221000000.0,38388000000.0,481.38,3793000000.0,True,1.109,False,-66.4,False,1,"[3793000000.0, -1263000000.0, -11062000000.0]",True,True,True,False
1888.T,"Wakachiku Construction Co., Ltd.",Industrials,3220.0,40982083100.0,70253000000.0,42034000000.0,28219000000.0,2217.19,-10211000000.0,False,1.452,False,-117.8,False,1,"[-10211000000.0, -3964000000.0, 15140000000.0]",True,True,False,False
1893.T,"Penta-Ocean Construction Co., Ltd.",Industrials,1763.0,478986289548.0,527938000000.0,591382000000.0,-63444000000.0,-233.52,68392000000.0,True,,False,,False,2,"[68392000000.0, -23331000000.0, 9139000000.0]",True,True,False,False
1897.T,"The Kaneshita Construction Co.,Ltd.",Industrials,3015.0,6346336815.0,13074000000.0,3831000000.0,9243000000.0,4391.14,67000000.0,True,0.687,False,-3.0,True,3,"[67000000.0, 650000000.0, 1552000000.0]",True,True,True,False
1898.T,"Seikitokyu Kogyo Co., Ltd.",Industrials,1428.0,52310765892.0,52540000000.0,40315000000.0,12225000000.0,333.72,11417000000.0,True,4.279,False,-541.8,False,2,"[11417000000.0, -971000000.0, 10949000000.0]",True,False,False,False
1899.T,Fukuda Corporation,Industrials,7940.0,65756332760.0,107630000000.0,57312000000.0,50318000000.0,6075.84,2574000000.0,True,1.307,False,-96.0,True,3,"[2574000000.0, 5877000000.0, 7494000000.0]",True,True,False,False
1904.T,"Taisei Oncho Co., Ltd.",Industrials,4950.0,30772486800.0,30613983000.0,18782054000.0,11831929000.0,1903.26,560787000.0,True,2.601,False,-290.1,True,3,"[560787000.0, 3006146000.0, 719548000.0]",True,True,False,False
1905.T,Tenox Corporation,Industrials,1522.0,10146012714.0,16957282000.0,7781731000.0,9175551000.0,1376.42,3047307000.0,True,1.106,False,-65.9,True,3,"[3047307000.0, 142546000.0, 955886000.0]",True,True,False,False
